name,description
dt,DT is an R package that provides an interface to the JavaScript library DataTables. Use the data.table tag for questions related to the data.frame extension package data.table.
xml-serialization,This tag refers to serialization technologies which use XML as a data format.
distutils,Distutils is the standard packaging system for Python modules and applications.
import,"The general process of moving data from an external source into one&#39;s platform, program, or data set."
visual-studio-2010,"Visual Studio 2010 is an integrated development environment (IDE) from Microsoft. Use this tag only for questions arising from the use of this particular version of Visual Studio, and not about any code just written in it."
jquery-chosen,"Chosen is a JavaScript plugin that makes long, unwieldy select boxes much more user-friendly. It is currently available in both jQuery and Prototype flavors."
mysql,"MySQL is a free, open-source Relational Database Management System (RDBMS) that uses Structured Query Language (SQL).  DO NOT USE this tag for other DBs such as SQL Server, SQLite etc.  Those are different DBs that all use their own dialects of SQL to manage the data."
snmp,"Simple Network Management Protocol (SNMP) is an Internet-standard protocol for managing devices on IP networks and consists of operations for data retrieval, modification and notification. SNMP generally operates over UDP."
mixins,A mixin is a way to enhance an object with properties or methods from another object without inheriting from that object.
appkit,"The Application Kit is a collection of classes provided by OpenStep operating systems such as OPENSTEP, GNUstep, and Mac OS X."
gremlin,Gremlin is the graph traversal language and virtual machine of Apache TinkerPop™
wxpython,wxPython is a Python wrapper for the cross-platform C++ GUI API wxWidgets.
mvvm-light,"The MVVM Light Toolkit is a set of components helping people to get started with the Model - View - ViewModel pattern in Silverlight, WPF, Xamarin, .NET Core and Windows Phone. It is a light and pragmatic framework that contains only the essential components needed.
"
virtualbox,"[Notice: Only programming-related questions are on-topic] Oracle VM VirtualBox is an x86 virtualization software package, now developed by Oracle Corporation "
spring-webflux,"Spring Framework 5 includes a new spring-webflux module. The module contains support for reactive HTTP and WebSocket clients as well as for reactive server web applications including REST, HTML browser, and WebSocket style interactions.WebFlux can run on Servlet containers with support for the Servlet 3.1 Non-Blocking IO API as well as on other async runtimes such as Netty and Undertow. "
schema,"Schema means shape, or more generally, plan. It may be XML schema or Database schema."
git-push,Pushes the changes from a local Git repo to remote
numerical-methods,Algorithms which solve mathematical problems by means of numerical approximation (as opposed to symbolic computation).
logging,"Computer data logging is the process of recording events in a computer program or computer system, usually with a certain scope, in order to provide an audit trail that can be used to understand the activity of the system and to diagnose problems. Be sure to include appropriate software or hardware tags in addition to this tag."
fstream,fstream provides an iostream interface for file I/O in C++.
select,"Select is a common keyword used to query data. &#39;select()&#39; is also a programming function for triggering code based on file handle or other system activity. Do not use this tag for questions related to: HTML &lt;select&gt; tag (use [html-select]); language integrated query such as LINQ or similar, etc."
push-notification,"Push notifications are alerts, badges, or sounds which are pushed to a mobile device from a remote server.

Apple delivers push notifications via the Apple Push Notification Service (APNS). Android devices receive push notifications via the Google Cloud Messaging (GCM) service. In the past, Android devices used the Cloud to Device Messaging (C2DM) framework. Windows Phone apps receive push notifications either via MPNS or the newer WNS."
accessibility,"Accessibility seeks to make an application or website usable by everyone, including people with disabilities such as visual, auditory, ambulatory, or cognitive impairment. *This tag should NOT be used for:* programming that requires &quot;accessing&quot; a process in multiple threads, a object in a class, a resource on a network, etc. or responsive design, which deals with serving content to a wide range of devices, unless there are also accessibility concerns. "
appcelerator,"Use this tag for programming or development questions related to the Appcelerator Platform for developing Native Mobile Apps and APIs using JavaScript. Please use Appcelerator-specific tags such as [appcelerator-titanium], not [titanium]."
jruby,"JRuby is an open-source Java implementation of the Ruby programming language. It is Ruby for the JVM. Using idiomatic Ruby syntax, JRuby can consume Java classes and libraries with ease. "
commit,"Questions about committing a transaction or &quot;unit of work&quot; to a database, application or version control system."
executorservice,ExecutorService is a Java object containing the managed pool of threads and capable of scheduling the submitted tasks for these threads. The scheduling strategies vary in multiple available implementations.
ms-access-2010,Microsoft Access 2010 Personal Relational Database Management System.
swipe,A quick motion gesture across the touchscreen.
gherkin,"Gherkin is the language used to write specifications for Cucumber, Specflow and similar BDD frameworks. It is a business-readable, domain-specific language that lets you describe your software’s behaviour without detailing how that behaviour is implemented."
eager-loading,Eager loading is a way to load objects of a certain class and a number of named associations in the same request.
spss,"SPSS is a statistics package. Originally released in 1968, it is currently owned by IBM."
logstash-configuration,"Logstash configuration has three main sections - Input, Filter and Output. Each section has configurations for each plugin available in that section."
apache-storm,"Storm is a distributed realtime computation system. Similar to how Hadoop provides a set of general primitives for doing batch processing, Storm provides a set of general primitives for doing realtime computation. Storm is simple, can be used with any programming language"
project-reactor,"Reactor is a foundational library building for reactive fast data applications on the JVM. It provides abstractions for Java, Groovy and other JVM languages to make building event and data-driven applications easier. It’s also really fast. 
"
google-admin-sdk,"Use for questions about using APIs and services that are part of the Google (G Suite) Admin SDK, platform for developers that write applications to manage G Suite domains, migrate from and integrate with existing IT infrastructure, create users, update settings, audit activity, and more."
flex4.5,Flex 4.5 is an iteration of the ActionScript and MXML based RIA SDK focused on expanding support for mobile / tablet platforms.
ldap,"Lightweight Directory Access Protocol (LDAP), is an application protocol for accessing and maintaining distributed directory information services over an IP network."
zapier,Zapier is a tool that allows you to connect apps you use every day to automate tasks and save time.
lighttpd,Lighttpd is a lightweight and high-performance event-driven web server.
split,"Use this tag for questions about separating an item (e.g. a string) into parts, often by a delimiter or regular expression."
bigdata,"Big data is a concept that deals with data sets of extreme volumes. Questions may tend to be related to infrastructure, algorithms, statistics, and data structures."
guid,A GUID (Globally Unique IDentifier) is a unique reference number used as an identifier in computer software.
cypher,"Cypher is a graph query language for Neo4j and AgensGraph. For ciphers as in encryption, see cipher."
facebook-c#-sdk,
firebase-hosting,"Firebase Hosting is developer-focused static web hosting for modern front-end web applications. Using Firebase Hosting, developers deploy SSL-enabled web apps to a global content-delivery network from a single command."
powerquery,"Microsoft Power Query for Excel enhances self-service business intelligence (BI) for Excel with an intuitive and consistent experience for discovering, combining, and refining data across a wide variety of sources including relational, structured and semi-structured, OData, Web, Hadoop, Azure Marketplace, and more. Power Query also provides you with the ability to search for public data from sources such as Wikipedia.
"
calculator,"Questions about calculators, or calculator programming. For TI-BASIC calculator programming, use the ti-basic tag."
blender,"Blender is the free open source 3D content creation suite, available for all major operating systems under the GNU General Public License. Also see the https://blender.stackexchange.com Stack Exchange site for more Blender-related questions."
selenium-rc,Selenium Remote Control - Answer to UI level functional test Web automation
solidity,Solidity is a language for smart contracts for blockchain technologies like Ethereum. It is designed to compile code for the Ethereum Virtual Machine. Use this tag for questions about programming smart contracts using the Solidity language.
excel-formula,"This tag is for Microsoft Excel questions where the question or answers are specifically about the structure, syntax, or output of an Excel formula."
sails.js,"Sails.js is a web framework that makes it easy to build custom, enterprise-grade Node.js apps. It is designed to resemble the MVC architecture from frameworks like Ruby on Rails, but with support for the more modern, data-oriented style of web app development."
survey,"Questionnaires created with the purpose of extracting information and deriving conclusions from a set of users. Use this tag for questions related to the creation, storage and handling of surveys."
data-access-layer,"Data access layer is a layer of a computer program which provides simplified access to data stored in persistent storage of some kind, such as an entity-relational database."
uiactionsheet,"UIActionSheet and UIActionSheetDelegate is deprecated in iOS 8. To create and manage action sheets in iOS 8 and later, instead use UIAlertController with a preferredStyle of UIAlertControllerStyleActionSheet.

The UIActionSheet class of the Apple iOS can be used to present to user a modal view with a descriptive text and some buttons the user can choose from. An action sheet displays a set of choices related to a task the user initiates."
centos6,GENERAL SUPPORT QUESTIONS MAY BE ASKED ON SERVER FAULT https://serverfault.com CentOS is a Linux distribution aiming for 100% binary compatibility with RHEL.
core-data,"Core Data is Apple&#39;s object modeling and persistence framework for iOS, iPadOS, tvOS, watchOS, and macOS. Xcode provides an object model editor for specifying entities, attributes, and relationships."
yii,"Use for questions about any version of Yii, an open-source MVC framework for writing web 2.0 applications in PHP5+"
heroku,"Heroku is a cloud platform for Ruby, Node.js, Python, Scala, Clojure, Go, PHP, and JVM-based applications.  It features  Git-based, GitHub, and API deployment strategies, a large number of services offered as add-ons, and a full API."
quickbooks,"QuickBooks is popular small to medium-sized business accounting software created by Intuit, Inc. QuickBooks Pro/Premier/Enterprise for Windows all include support for programmatic access to QuickBooks via Intuit&#39;s SDK/XML-based APIs. QuickBooks Online edition also supports an XML-based API. QuickBooks for Mac does not support any SDK/API/programmatic access."
picker,Synonym of selector or chooser.
svg,"Scalable Vector Graphics (SVG) is an XML-based two-dimensional vector graphics format that can also be used in HTML. Do not add this tag just because your project uses SVG. Instead, add the tag if your question is either about SVG or closely related, like how to achieve something with SVG."
preview,User Interface action to display a preliminary or scaled down version of the actual item.
outliers,An outlier is an observation that appears to be unusual or not well described relative to a simple characterization of a dataset.
keyboard-shortcuts,Keyboard shortcuts provide quick access to application or system actions via combinatorial key presses.
capacitor,"Capacitor is a cross-platform app runtime that allows developers to build web apps that run natively on iOS, Android, Electron and the web."
cjk,"CJK stands for Chinese, Japanese and Korean and is used to label issues common to these East Asian languages and their large character repertoires."
confluence,Atlassian Confluence is an enterprise-class collaboration and wiki system.
codeblocks,"This tag is for Code::Blocks, an open-source C++ IDE. Do not use this tag for code blocks which define scope (e.g. curly braces)."
rack,Rack provides a minimal interface between webservers supporting Ruby and Ruby frameworks.
conda,"Conda is a package management and environment management system. It is open-source, cross-platform and language-agnostic. Written in Python, conda is included in Miniconda and the Anaconda Python distribution."
bcp,"The bulk copy program `bcp` is a command line tool that can be used to export data from Microsoft&#174; SQL Server™ or SAP Sybase Adaptive Server Enterprise databases to a data file in a user-specified format.  bcp can also be used to bulk-load (=quickly import) data into the database server. The Microsoft and Sybase versions have similar syntax, but can not be used interchangeably."
cobol,"COBOL (COmmon Business Oriented Language) was the product
of a US Department of Defense initiative to develop a standard and portable programming
language for business applications. COBOL celebrated its 50th birthday
in 2009. It is generally believed that new COBOL development is in decline but a commercial commitment remains to keep the language relevant in today’s computing landscape."
access-control,Access control is the process of limiting the access of ability of users or services to certain resources.
ionic3,"Ionic 3 is the newer version of Ionic, an open source SDK that enables developers to build mobile apps using standard web technologies (HTML, CSS, and JavaScript).

Ionic 3 is paired with Angular4 and above."
mern,"MERN stands for Mongo, Express, React and NodeJS.

"
resize,"Issues relating to the resizing of controls, windows, forms or screens."
32-bit,"In computer architecture, 32-bit integers, memory addresses, or other data units are those that are at most 32 bits (4 octets) wide. Also, 32-bit CPU and ALU architectures are those that are based on registers, address buses, or data buses of that size. 32-bit is also a term given to a generation of computers in which 32-bit processors are the norm."
spark-structured-streaming,Spark Structured Streaming allows processing live data streams using DataFrame and Dataset APIs.
libxml2,Software library for parsing XML documents.
emulation,"For questions about emulation and emulators, where a computer program is emulating (imitating) the behavior of another program or hardware device."
undefined-behavior,"The unpredictable outcome of compiling or executing a program which breaks rules of the language neither compiler, interpreter nor runtime-system have to enforce. DO NOT USE this tag for questions regarding the data type or return value of &quot;undefined&quot;. In those cases, the [undefined] tag should be used instead."
swiftui,"SwiftUI is a way to build user interfaces across all Apple platforms. Build user interfaces for any Apple device using one set of tools and APIs. With a declarative Swift syntax that’s easy to read and natural to write, SwiftUI works seamlessly with Xcode design tools to keep your code and design perfectly in sync. Automatic support for Dynamic Type, Dark Mode, localization, and accessibility. Use this tag for questions about SwiftUI on any platform."
elementor,Elementor is a popular WordPress Page Builder plugin that provides Drag and Drop page builder functionality. Add the [wordpress] tag to your question for better visibility.
rbac,"RBAC is short for Role Based Access Control, an authorization and access control model in which access to restricted resources is granted or denied based on whether the requester&#39;s identity is associated with one or more role classifications required by the restricted resource."
google-search,SEARCH ENGINE OPTIMIZATION(SEO) IS OFF-TOPIC. This tag is only for programming questions about the Google search engine.
silverstripe,Silverstripe is a free and open source PHP web development framework and Content Management System (CMS) based on the eponymous Silverstripe Framework.
internet-explorer-6,Internet Explorer 6 (IE6) is an old version of Internet Explorer. It was shipped with Windows XP and Windows Server 2003.  Internet Explorer 6 is no longer supported by Microsoft.
r-plotly,plotly is an R package to create interactive web-based visualizations via &#39;plotly.js&#39;.
predict,Prediction of values based on model objects.
uipangesturerecognizer,UIPanGestureRecognizer is a concrete subclass of UIGestureRecognizer that looks for panning (dragging) gestures. The user must be pressing one or more fingers on a view while they pan it. Clients implementing the action method for this gesture recognizer can ask it for the current translation and velocity of the gesture.
system-calls,A system call is used by programs to request services from the operating system&#39;s kernel.
jquery-validate,The jQuery Validate plugin is a jQuery plugin by J&#246;rn Zaefferer. Its purpose is to perform client-side form validation of user entered data.
httpd.conf,The main configuration file of Apache HTTP Server is usually called httpd.conf
acumatica,"Acumatica is a cloud- and browser-based enterprise resource planning system (ERP), which can be customized and extended via an SDK and interoperated with via a web services API. Only topics about interfaceing via the SDK or API are on topic."
kotlin-coroutines,"A language feature and a library introduced in Kotlin 1.3 that is used to implement the &quot;green threads&quot; model. It allows writing non-blocking IO code in a natural way, without resorting to futures or callbacks."
casperjs,CasperJS is a JavaScript based navigation scripting &amp; testing utility for PhantomJS (WebKit) and SlimerJS (Gecko). See SpookyJS for the use of CasperJS inside of node.js.
jqplot,"jqPlot is a plotting and charting plugin built on top of jQuery. The grid, axes, shadows etc are all computed and rendered by plugins. It supports custom event handlers, creation of new plot types, adding canvases to the plot and many more features."
synchronization,"Synchronization refers to using controls to maintain a coherent representation, either a group of processes running the same program (process synchronization), or representations of data (data synchronization)."
spring-data-neo4j,Spring Data Neo4j enables POJO based development for the Graph Database Neo4j. 
facebook-javascript-sdk,"Facebook&#39;s JavaScript SDK provides a rich set of client-side functionality for accessing Facebook&#39;s server-side API calls. It can collaborate with any SDK like PHP, C#, Java, android, ios, etc "
windows-phone-8.1,Windows Phone 8.1 is a major update to Microsoft&#39;s Windows Phone 8 operating system. It was announced at the Build Conference in April 2014.
azure-table-storage,"Azure Table storage is a cloud-based NoSQL service which is ideal for large amounts of structured, non-relational data."
infinite-scroll,"Infinite Scrolling, also known as endless scrolling, is a technique that is widely used by websites and Web applications that host lots of content on a page where pagination would traditionally have been used. Infinite scrolling involves initially loading only one page of content. As the user scrolls down, the browser fetches another page via an AJAX request. There are several Infinite Scrolling plugins that facilitate this technique in modern browsers. "
alarmmanager,Android class providing access to the system alarm services.
casting,Casting is a process where an object type is explicitly converted into another type if the conversion is allowed. This process might lead to a change in value.
jbutton,A JButton is a common button in Java Swing.
mootools,"MooTools is a compact, modular, object-oriented prototypal JavaScript framework designed for the intermediate to advanced JavaScript developer. It allows you to write powerful, flexible, and cross-browser code with its elegant, well documented, and coherent API."
osx-snow-leopard,"Mac OS X Snow Leopard (10.6) is the seventh major release of Mac OS X, Apple&#39;s desktop and server operating system for Macintosh computers."
azure-resource-manager,Azure Resource Manager is a framework for deploying and managing applications across resources and managing groups of resources as single logical units on the Microsoft Azure cloud computing platform.
constants,"Constants in programming are definitions whose value is fixed throughout a program&#39;s execution. Literals in most languages are constants, for example. In referentially transparent programming styles, all definitions are constant. A const-qualified data storage area (object, field, variable, parameter) is one that &quot;never changes&quot;, thus allowing extra code generator optimizations and additional static checking of program correctness."
7zip,&quot;7z&quot; or &quot;7-Zip&quot; may refer either to the open-source 7z compression container format or to the file name of the executable program of the same name that is the flagship implementation of the compression format. Both are GPL-licensed and under active development.
escaping,Escaping is the process of applying an alternate meaning to a character or set of characters.
pyside2,"Questions about using PySide2, a Python Qt bindings project for Qt5. "
checkout,Checkout is the process of finishing a transaction after using a shopping application for some time.
syslog,Syslog is a standard for logging program messages.
pythonanywhere,"PythonAnywhere is a Python-centric web-based development and hosting service.
"
dockerfile,A Dockerfile is a file containing instructions to build a Docker image
clob,"Character Large Object - data type used in Oracle and IBM DB2 RDBMSes to store strings of character longer than 4000 bytes. 
"
qtquick2,"Qt Quick is a modern user interface technology that separates the declarative UI design and the imperative programming logic. Instead of the traditional C++ APIs of Qt, the presentation layer of the application is written with a Qt-specific declarative language called QML."
solid-principles,"SOLID is an acronym for five principles of object-oriented design introduced or documented by Robert C. Martin. Use this tag on questions regarding any of the individual principles, or their relationships to other OOD concepts. Also use the five individual tags, when applicable."
webrtc,"WebRTC is a free, open project providing browsers and mobile applications with Real-Time Communications (RTC) capabilities (audio, video, and binary data streaming) via simple APIs and common set of protocols. Tags for operating environment may be helpful, e.g. [node.js] or [reactjs] or [ios] as well as specific browser, e.g. [firefox]. Questions concerning Session Description Protocol use [sdp]. Use [ortc] for Object RTC."
geo,geo is the abbreviation for the term &quot;geographic&quot;. It includes handling of geographic coordinates and vectors for display and calculation purpose. 
data-modeling,Data modeling questions refer to the techniques used to gather and analyze data requirements needed to support data operations in programs and systems.
master-pages,a feature of ASP.NET that allows template-based page development.
amazon-vpc,"Amazon Virtual Private Cloud (Amazon VPC) lets you provision a private, isolated section of the Amazon Web Services (AWS) Cloud where you can launch AWS resources in a virtual network that you define. With Amazon VPC, you can define a virtual network topology that closely resembles a traditional network that you might operate in your own datacenter."
listviewitem,Represents an item in a ListView control.
metaclass,"In object-oriented programming, a metaclass is a class whose instances are classes. Just as an ordinary class defines the behavior of certain objects, a metaclass defines the behavior of certain classes and their instances. Not all object-oriented programming languages support metaclasses.
"
birt,For questions about Eclipse BIRT (Business Intelligence Reporting Tool) which is an open source reporting system that integrates with your Java/Java EE application to produce compelling reports. 
types,"Types, and type systems, are used to enforce levels of abstraction in programs."
crossfilter,Crossfilter is a JavaScript library for exploring large multivariate datasets in the browser.
openid-connect,OpenID Connect (OIDC) is a REST-friendly protocol for the (possibly cross-domain) exchange of user identity built on top of the OAuth 2.0 and JWT specifications.
cucumber-java,"Cucumber-JVM is a pure Java implementation of Cucumber that supports the most popular programming languages for the JVM. Cucumber-JVM supports the following JVM languages:

- Java
- Groovy
- Scala
- Clojure
- Jython
- JRuby
- Rhino JavaScript
- Gosu"
xcode4.3,"Xcode is Apple&#39;s integrated development environment (IDE) for Mac OS X and iOS. Xcode 4.3 (4E109) was officially released February 16, 2012. This tag should only be used for questions about this specific version of Xcode itself, and not for general Mac or iPhone OS programming topics. Use [cocoa] for Mac programming questions, or [cocoa-touch] for iOS (formerly iPhone OS) programming questions."
shared-memory,Memory that may be simultaneously accessed by multiple programs
fade,"Fade refers to the UI technique of having page elements gradually gain or lose visibility, usually in response to a user action."
echo,Simple function outputting text. Exists in script languages.
blazor-server-side,Server-side Blazor is a web framework from Microsoft to create single page apps running on the server. Changes to the DOM and events in the browser are communicated via a SignalR connection. Blazor is built on ASP.NET Core.
openfiledialog,The OpenFileDialog is a (component) class in the .NET Framework that prompts the user to open one or multiple files.
gnupg,GNU Privacy Guard (GnuPG / GPG) is a cryptography suite implementing secret-key cryptography and public-key cryptography. GnuPG is the GNU project&#39;s complete and free implementation of the OpenPGP standard as defined by RFC4880. Use this tag for programmatic use of the GPG tool or its library. Questions about direct usage of the GPG tool or its graphical pendents belong on Super User.
structure,"Structure is a fundamental, tangible or intangible notion referring to the recognition, observation, nature, and permanence of patterns and relationships of entities. DO NOT USE this tag for C or C++ struct questions!"
batch-processing,Batch-processing refers to programmatic execution with minimum human interaction.
devops,"This tag is for programming questions about DevOps (&quot;development&quot; and &quot;operations&quot;), which is a software development method that stresses communication, collaboration, integration, automation, and measurement of cooperation between software developers and other IT professionals. Non-programming related questions should be asked on the DevOps Stack Exchange site."
ipv4,IPv4 is the &quot;old style&quot; IP protocol currently used in most circumstances.
httpclient,"DO NOT USE - Use [apache-commons-httpclient], [apache-httpclient-4.x], [jetty-httpclient], [java-http-client], [dotnet-httpclient] or [angular-httpclient]"
include,A provision that many programming languages provide to allow functionality defined in one file to be used in another.
background-process,"A background process is a computer process that runs &quot;behind the scenes&quot; (i.e. in the background) and without user intervention. Typical tasks for these processes include logging, system monitoring, scheduling, and user notification."
react-context,React Context provides a way to pass data through the component tree without having to pass props down manually at every level.
unit-testing,"Unit testing is a method by which individual units of source code are tested to determine if they are fit for use.
"
word,A word is the amount of data that a processor can fit in its general-purpose registers -- effectively the amount of data the processor can handle &quot;at once&quot;. Programming-related questions concerning Microsoft Word should NOT use this tag - use the tag [ms-word] instead. Questions on general usage of Microsoft Word are off-topic for Stack Overflow and should be asked on Super User instead.
twisted,"Twisted is an event-driven networking engine, written in Python and implementing many different protocols."
lamp,"LAMP refers to a stack of web technologies based on Linux, Apache, MySQL, and PHP/Perl/Python."
multiplication,Multiplication is the mathematical operation of scaling one number by another. It is an elementary operation of most programming languages and is typically denoted by the symbol *.
jetty,"Eclipse Jetty is a widely-used async Java-based HTTP server and servlet engine supporting HTTP/1.0, HTTP/1.1, HTTP/2, and WebSocket protocols."
kubectl,"The Kubernetes command-line tool, kubectl, allows you to run commands against Kubernetes clusters. You can use kubectl to deploy applications, inspect and manage cluster resources, and view logs."
pytest,Simple powerful no-boilerplate testing with Python. Please also add the `python` tag for questions tagged with `pytest`.
threadpoolexecutor,"In Java, an ExecutorService that executes each submitted task using one of possibly several pooled threads. "
sip,"The Session Initiation Protocol, defined in &quot;RFC 3261&quot;, is an application layer signalling protocol for establishing and modifying long-running relationships between two or more peers.

(NB: for questions about the SIP python bindings generator, use the [python-sip] tag)."
live-streaming,"Live Streaming is the action of streaming a media (video, audio or both) over the network in real time."
gpgpu,GPGPU is an acronym for the field of computer science known as &quot;General Purpose computing on the Graphics Processing Unit (GPU)&quot;
bert-language-model,"BERT, or Bidirectional Encoder Representations from Transformers, is a method of pre-training language representations which obtains state-of-the-art results on a wide array of Natural Language Processing (NLP) tasks. BERT uses Transformers (an attention mechanism that learns contextual relations between words or sub words in a text) to generate a language model. "
x509certificate,X509Certificate is the name of .NET and Java classes for handling X.509 certificates.
tcp,Transmission Control Protocol (TCP) is a transport layer protocol that provides a connection-oriented data stream service with delivery that is guaranteed to be in-order.
x86,"x86 is an architecture derived from the Intel 8086 CPU. The x86 family includes the 32-bit IA-32 and 64-bit x86-64 architectures, as well as legacy 16-bit architectures. Questions about the latter should be tagged [x86-16] and/or [emu8086]. Use the [x86-64] tag if your question is specific to 64-bit x86-64. For the x86 FPU, use the tag [x87].  For SSE1/2/3/4 / AVX* also use [sse], and any of [avx] / [avx2] / [avx512] that apply"
openmp,OpenMP is a cross-platform multi-threading API which allows fine-grained task parallelization and synchronization using special compiler directives. 
httpurlconnection,HttpURLConnection instance is used to make a single request but the underlying network connection to the HTTP server may be transparently shared by other instances.
sql-server-2008-r2,Use this tag for questions specific to the 2008 R2 version of Microsoft&#39;s SQL Server.
angularjs-routing,"Use for ngRoute, the built-in routing module in AngularJS, which can map the browser URL to a defined route."
substitution,The action of replacing something with another thing.
sandbox,"Sandbox is a security mechanism for containing untrusted programs. Such programs could contain malicious code, which would harm the user&#39;s system."
phantomjs,"PhantomJS is a headless (GUI-less) WebKit with a JavaScript API. It has native support for various web standards: DOM handling, CSS selector, JSON, Canvas, and SVG."
aes,Advanced Encryption Standard (AES) is a cryptographic block cipher algorithm.
grails-2.0,"Grails is a web application framework that uses Groovy and Java. The framework is oriented around high-productivity application development, and uses common Java technologies such as Hibernate and Spring."
slurm,Slurm (formerly spelled SLURM) is an open-source resource manager designed for Linux HPC clusters of all sizes.
sapui5,"This tag &#39;sapui5&#39; covers both the proprietary (SAPUI5) and the open source (OpenUI5) versions of the framework. When asking about Fiori elements, consider adding [odata] and [sap-fiori] tags accordingly."
angular5,"Questions about Angular version 5, the web framework from Google. Use this tag for Angular questions which are specific to only version 5. Use tag Angular for any Angular questions which are not specific to an individual version."
hotkeys,Hotkeys provide quick access to user interface application or system actions via combinatorial key presses.
definition,A generic tag for topics providing definitions.
performance-testing,Performance Testing: The process of testing to determine the performance of a software product. Performance Testing is the process of identifying and eliminating application or system performance bottlenecks by exercising actual expected user patterns.
nhibernate-mapping,XML mappings for the .NET framework object-relational mapper (ORM) NHibernate as created with .hbm.xml files.
autodesk-forge,"For questions related to programmatically using the Autodesk Forge platform, including BIM 360 API, Viewer and Model Derivative."
memcpy,memcpy() is a C standard library function used for copying a block of memory bytes from one place to another.
api,"DO NOT USE. Use specific tags like [google-cloud-platform], [facebook], [amazon-web-services] instead or [api-design]  where applicable. Questions asking to recommend or find an API are off-topic."
geolocation,"Geolocation is the identification of the real-world geographic location of an object, such as a cell phone or an Internet-connected computer terminal. Use [w3c-geolocation] for questions about the W3C Geolocation API."
azure-cosmosdb,"Azure Cosmos DB is a globally distributed database service designed to enable users to elastically and independently scale throughput and storage across any number of geographical regions with a comprehensive SLA. You can develop document, key/value, or graph databases with Cosmos DB using a series of popular APIs and programming models."
bloc,BLoC stands for Business Logic Component. The application implementation pattern of using BLoC is called BLoC pattern.
system.reflection,"System.Reflection is a namespace of the .NET framework. It contains types that retrieve information about assemblies, modules, members, parameters, and other entities in managed code by examining their metadata."
vue.js,"Vue.js is an open-source, progressive JavaScript framework for building user interfaces that aims to be incrementally adoptable. Vue.js is mainly used for front-end development and requires an intermediate level of HTML and CSS. Vue.js questions are highly version specific and should always be tagged with [vuejs2] or [vuejs3] in addition to this tag."
line-breaks,Whitespace that forces text layout to continue at the start of the next line.
onclick,"An event which occurs when user clicked an object. It is a combination of two events, that is,  &quot;onmousedown&quot; and &quot;onmouseup&quot;."
static-linking,"A static library or statically-linked library is a set of routines, external functions and variables which are resolved in a caller at compile-time and copied into a target application by a compiler, linker, or binder, producing an object file and a stand-alone executable. This executable and the process of compiling it are both known as a static build of the program."
sequelize.js,"The Sequelize library provides an ORM (Object-Relational-Mapper) for Node.js, written entirely in JavaScript. Provides easy mapping for MySQL, MariaDB, SQLite, PostgreSQL and SQL Server."
comparison,Questions about data comparison and efficient ways to accomplish it. Please avoid using this tag for generic (meta) comparison of two issues or concepts.
mailchimp,"MailChimp helps you design email newsletters, share them on social networks, integrate with services you already use, and track your results. It&#39;s like your own personal publishing platform."
plugins,"A plug-in (or plugin) is a set of software components that adds specific abilities to a larger software application. If supported, plug-ins enable customizing the functionality of an application."
schedule,A schedule is the arrangement of events in time.
git-diff,"Shows changes between the working tree and the committed contents of a git repository, or between two commits or branches of the repository."
postgresql-9.5,For PostgreSQL questions specific to version 9.5
docx,".docx is the file extension for files created using the default format of Microsoft Word 2007 or higher.

Use this tag when you are working with .docx files programmatically, such as generating .docx, extracting data from .docx or editing a .docx"
c99,"This tag is for questions regarding the International Standard ISO 9899:1999, aka      &quot;C99&quot;, with technical corrigenda, and for questions about code written in C99 (as opposed to K&amp;R C, C89 or later C Standard revisions like the 2011 revision C11)."
opencl,"OpenCL (Open Computing Language) is a framework for writing programs that execute across heterogeneous platforms consisting of CPUs, GPUs, and other processors."
spring-jms,Spring provides a JMS integration framework that simplifies the use of the JMS API much like Spring&#39;s integration does for the JDBC API.
fatal-error,"An error that causes a program to abort, regardless of the programming language. "
gif,GIF (Graphics Interchange Format) is an image file format associated with &quot;.gif&quot; file extension. Use this tag for questions involving this specific format.
page-refresh,Questions dealing with causing or preventing the re-rendering of an HTML document by a web browser.
haskell,"Haskell is a purely functional programming language featuring strong static typing, lazy evaluation, extensive parallelism and concurrency support, and unique abstraction capabilities."
filenotfoundexception,A Java or Android exception that indicates that the file denoted by a specified pathname could not be opened.
avaudiosession,This class provides an Objective-C alternative to many features from the C-based Audio Session Services.
shared-libraries,Shared libraries are libraries that are loaded by programs when they start. A single shared copy of each library is loaded into physical memory and may be used by multiple processes at the same time. This reduces memory use and improves system performance. This tag should never be used alone.
laravel,The Laravel framework is an open-sourced PHP web framework that allows developers to create dynamic and scalable web applications. The source code of Laravel is hosted on GitHub and released under the MIT license.
google-cloud-firestore,"Cloud Firestore is an auto-scaling real-time document database for storing, syncing, and querying data for mobile, web and server development."
react-hooks,React Hooks are a feature that allows developers to use state(s) and other React component lifecycle features without writing a class-based component.
bdd,"BDD stands for Behavior Driven Development. It is related to, and derived from, TDD (Test Driven Development) and ATDD (Acceptance Test Driven Development). It differs from them in its language, preferring &quot;example&quot;, &quot;scenario&quot; or &quot;specification&quot; to &quot;test&quot;."
service-worker,"A service worker is JavaScript code that, once registered with an associated origin and scope, will respond to browser-initiated events, even when the pages it controls are no longer open.

By handling `fetch` events, service workers can provide custom network behavior, like offline support (via the Cache API).

By handling `push` events, service workers can be &quot;woken up&quot; and display notifications."
